GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,FullBath,OverallQual,Neighborhood,SalePrice
1710,2003,2,856,2,7,CollgCr,208500
1262,1976,2,1262,2,6,Veenker,181500
1786,2001,2,920,2,7,CollgCr,223500
1717,1915,3,756,1,7,Crawfor,140000
2198,2000,3,1145,2,8,NoRidge,250000
1362,1993,2,796,1,5,Mitchel,143000
1694,2004,2,1686,2,8,Somerst,307000
2090,1973,2,1107,2,7,NWAmes,200000
1774,1931,2,952,2,7,OldTown,129900
1077,1939,1,991,1,5,BrkSide,118000
1040,1965,1,1040,1,5,Sawyer,129500
2324,2005,3,1175,3,9,NridgHt,345000
912,1962,1,912,1,5,Sawyer,144000
1494,2006,3,1494,2,7,CollgCr,279500
1253,1960,1,1253,1,6,NAmes,157000
854,1929,2,832,1,7,BrkSide,132000
1004,1970,2,1004,1,6,NAmes,149000
1296,1967,2,0,2,4,Sawyer,90000
1114,2004,2,1114,1,5,SawyerW,159000
1339,1958,1,1029,1,5,NAmes,139000
2376,2005,3,1158,3,8,NridgHt,325300
1108,1930,1,637,1,7,IDOTRR,139400
1795,2002,2,1777,2,8,CollgCr,230000
1060,1976,2,1040,1,5,MeadowV,129900
1060,1968,1,1060,1,5,Sawyer,154000
1600,2007,3,1566,2,8,NridgHt,256300
900,1951,2,900,1,5,NAmes,134800
1704,2007,3,1704,2,8,NridgHt,306000
1600,1957,1,1484,1,5,NAmes,207500
520,1927,1,520,1,4,BrkSide,68500
1317,1920,1,649,1,4,IDOTRR,40000
1228,1966,1,1228,1,5,Sawyer,149350
1234,2007,2,1234,2,8,CollgCr,179900
1700,1959,2,1398,1,5,NAmes,165500
1561,2005,2,1561,2,9,NridgHt,277500
2452,2004,3,1117,3,8,NridgHt,309000
1097,1994,2,1097,1,5,CollgCr,145000
1297,1954,2,1297,1,5,NAmes,153000
1057,1953,1,1057,1,5,NAmes,109000
1152,1955,0,0,2,4,Edwards,82000
1324,1965,2,1088,2,6,NAmes,160000
1328,1959,1,1350,1,5,Timber,170000
884,1983,2,840,1,5,SawyerW,144000
938,1975,1,938,1,5,CollgCr,130250
1150,1959,1,1150,1,5,NAmes,141000
1752,2005,2,1752,2,9,NridgHt,319900
2149,2003,2,1434,1,7,Mitchel,239686
1656,2006,3,1656,2,8,Somerst,249700
1452,1920,0,736,2,4,OldTown,113000
955,1966,1,955,1,5,Sawyer,127000
1470,1997,2,794,2,6,Gilbert,177000
1176,1934,2,816,1,6,BrkSide,114500
816,1963,2,816,1,5,IDOTRR,110000
1842,1981,3,1842,0,9,Veenker,385000
1360,1955,2,384,1,5,NAmes,130000
1425,1964,2,1425,2,6,NAmes,180500
1739,1999,2,970,2,8,Somerst,172500
1720,2004,2,860,2,7,CollgCr,196500
2945,2006,3,1410,3,10,StoneBr,438780
780,1972,1,780,1,5,CollgCr,124900
1158,2004,2,1158,1,6,SawyerW,158000
1111,1920,1,530,1,5,IDOTRR,101000
1370,2006,2,1370,2,8,NridgHt,202500
1710,1921,2,576,2,7,OldTown,140000
2034,1997,2,1057,2,7,CollgCr,219500
2473,2004,3,1143,2,8,NridgHt,317000
2207,1970,2,1947,2,7,NAmes,180000
1479,2003,2,1453,2,7,CollgCr,226000
747,1945,1,747,1,4,OldTown,80000
2287,1953,2,1304,2,7,ClearCr,225000
2223,1973,2,2223,2,7,NAmes,244000
845,1982,2,845,1,4,Mitchel,129500
1718,1998,2,832,2,7,Gilbert,185000
1086,1954,2,1086,1,5,NAmes,144900
1605,1915,1,840,2,3,OldTown,107400
988,1973,1,462,1,4,MeadowV,91000
952,1956,1,952,1,4,NAmes,135750
1285,1948,1,672,1,5,BrkSide,127000
1768,1968,0,1768,2,4,Sawyer,136500
1230,1910,2,440,1,5,OldTown,110000
2142,1968,1,896,2,6,NAmes,193500
1337,1998,2,1237,2,6,Mitchel,153500
1563,2007,3,1563,2,8,Somerst,245000
1065,1960,2,1065,1,5,NAmes,126500
1474,1995,2,384,2,7,Gilbert,168500
2417,1991,2,1288,2,8,NoRidge,260000
1560,2005,2,684,2,6,Gilbert,174000
1224,2009,2,612,2,6,Somerst,164500
1526,1915,0,1013,1,3,IDOTRR,85000
990,1994,0,990,1,4,CollgCr,123600
1040,1950,2,0,1,4,NAmes,109900
1235,1961,2,1235,1,5,NAmes,98600
964,1921,2,876,1,5,Crawfor,163500
2291,1910,2,1214,2,6,OldTown,133900
1786,1997,2,824,2,6,CollgCr,204750
1470,1993,2,680,2,6,Gilbert,185000
1588,1999,2,1588,2,7,CollgCr,214000
960,1965,1,960,1,4,Edwards,94750
835,1920,1,458,1,5,Edwards,83000
1225,1959,0,950,1,4,NAmes,128950
1610,1977,2,1610,2,6,NWAmes,205000
1732,1985,2,741,2,6,SawyerW,178000
1535,1979,2,0,2,5,SawyerW,118964
1226,2009,3,1226,2,7,CollgCr,198900
1818,1931,1,1040,1,7,IDOTRR,169500
1992,2003,2,1053,2,8,Somerst,250000
1047,1885,1,641,1,4,OldTown,100000
789,1948,1,789,1,5,OldTown,115000
1517,1919,0,793,2,5,IDOTRR,115000
1844,1977,2,1844,2,6,NWAmes,190000
1855,1954,1,994,2,6,Edwards,136900
1430,2000,2,384,2,7,Gilbert,180000
2696,2007,3,1264,2,7,CollgCr,383970
2259,1953,2,1809,2,6,Crawfor,217000
2320,1945,1,1028,2,6,Crawfor,259500
1458,1999,2,729,2,6,Somerst,176000
1092,1962,1,1092,1,5,Sawyer,139000
1125,2006,2,1125,1,5,Edwards,155000
3222,1990,3,1673,3,7,SawyerW,320000
1456,2005,2,728,2,6,CollgCr,163990
988,1969,2,938,1,6,ClearCr,180000
1123,1939,1,732,1,4,IDOTRR,100000
1080,1958,1,1080,1,6,NAmes,136000
1199,1993,2,1199,2,6,SawyerW,153900
1586,1979,2,1362,2,6,NWAmes,181000
754,1935,0,520,1,6,IDOTRR,84500
958,1976,2,1078,2,6,NPkVill,128000
840,1930,0,672,1,5,OldTown,87000
1348,1966,2,660,1,6,NAmes,155000
1053,1958,2,1008,1,5,NAmes,150000
2157,1966,2,924,2,7,NAmes,226000
2054,2000,2,992,2,6,Gilbert,244000
1327,1959,2,1063,1,5,NAmes,150750
1296,2001,2,1267,2,8,Timber,220000
1721,1968,2,1461,2,5,Sawyer,180000
1682,1970,2,1304,2,7,NWAmes,174000
1214,1967,1,1214,2,5,NAmes,143000
1959,1988,3,1907,3,7,Mitchel,171000
1852,1999,3,1004,2,8,CollgCr,230000
1764,1997,2,928,2,6,CollgCr,231500
864,1971,0,864,1,4,NAmes,115000
1734,2005,2,1734,2,7,CollgCr,260000
1385,1952,2,910,2,5,NAmes,166000
1501,1999,2,1490,2,7,CollgCr,204000
1728,1963,2,1728,2,5,Sawyer,125000
1709,2004,2,970,2,6,Edwards,130000
875,1931,1,715,1,5,BrkSide,105000
2035,2001,2,884,2,7,Gilbert,222500
1080,2004,0,1080,1,7,SawyerW,141000
1344,1936,1,896,1,5,BrkSide,115000
969,1975,2,969,1,5,CollgCr,122000
1710,2007,3,1710,2,8,NridgHt,372402
1993,1971,2,825,2,6,NWAmes,190000
1252,1960,2,1602,1,6,ClearCr,235000
1200,1923,1,1200,1,6,OldTown,125000
1096,1924,0,572,1,6,Edwards,79000
1040,1950,2,0,1,5,NAmes,109500
1968,2009,3,774,2,8,Timber,269500
1947,2004,2,991,2,7,Somerst,254900
2462,2005,2,1392,2,7,Gilbert,320000
1232,1984,2,1232,2,6,Veenker,162500
2668,2003,3,1572,2,9,NridgHt,412500
1541,2005,2,1541,2,7,NridgHt,220000
882,1956,0,882,1,4,OldTown,103200
1616,1926,1,1149,2,6,OldTown,152000
1355,1940,0,644,2,5,Edwards,127500
1867,1955,1,1617,1,5,ClearCr,190000
2161,2007,3,1582,1,8,NridgHt,325624
1720,2004,2,840,2,7,Gilbert,183500
1707,1981,2,1686,2,8,Timber,228000
1382,1941,2,720,1,5,OldTown,128500
1656,1960,2,1080,1,6,NAmes,215000
1767,1987,2,1064,2,7,StoneBr,239000
1362,1961,2,1362,1,6,NAmes,163000
1651,1986,2,1606,2,6,Timber,184000
2158,1950,2,1202,2,6,Edwards,243000
2060,1988,2,1151,2,6,ClearCr,211000
1920,1958,2,1052,2,5,Sawyer,172500
2234,2008,3,2216,2,9,StoneBr,501837
968,1923,2,968,1,5,OldTown,100000
1525,2000,2,756,2,6,Somerst,177000
1802,1920,1,793,1,7,Crawfor,200100
1340,1957,1,0,1,5,Edwards,120000
2082,2003,2,1362,2,7,OldTown,200000
1252,1908,2,504,1,5,BrkSide,127000
3608,1892,3,1107,2,10,OldTown,475000
1217,1990,2,1188,2,7,Mitchel,173000
1656,1916,1,660,2,5,OldTown,135000
1224,1979,2,1086,0,5,SawyerW,153337
1593,2001,2,1593,1,8,StoneBr,286000
2727,1932,2,853,2,8,Crawfor,315000
1479,1972,2,725,1,7,NAmes,184000
1431,1999,2,1431,2,7,CollgCr,192000
1709,2004,2,970,2,7,Edwards,130000
864,1972,1,864,1,5,CollgCr,127000
1456,1976,2,855,2,6,NPkVill,148500
1726,2007,3,1726,2,7,Somerst,311872
3112,1918,2,1360,2,8,NAmes,235000
2229,1912,0,755,1,6,OldTown,104000
1713,2004,3,1713,2,8,NridgHt,274900
1121,2003,2,1121,2,4,Edwards,140000
1279,1977,2,1196,2,6,Mitchel,171500
1310,1924,1,617,2,6,OldTown,112000
848,2004,2,848,1,6,CollgCr,149000
1284,1947,1,720,1,5,OldTown,110000
1442,1990,2,1424,2,7,Gilbert,180500
1696,1962,1,1140,1,5,Sawyer,143900
1100,1960,1,1100,1,4,NAmes,141000
2062,1988,2,1157,2,7,SawyerW,277000
1092,1964,2,1092,1,6,NAmes,145000
864,1925,0,864,1,5,Edwards,98000
1212,2009,2,1212,2,6,Edwards,186000
1852,2009,2,900,2,7,Somerst,252678
990,1995,2,990,1,5,CollgCr,156000
1392,1977,1,689,1,6,CollgCr,161750
1236,1957,1,1070,1,5,NAmes,134450
1436,2004,2,1436,2,7,CollgCr,210000
1328,1925,1,686,1,4,OldTown,107000
1954,1939,2,798,1,7,Crawfor,311500
1248,2005,2,1248,2,7,Blmngtn,167240
1498,2006,2,1498,2,7,CollgCr,204900
2267,2002,2,1010,2,6,Gilbert,200000
1552,1975,2,713,2,6,NWAmes,179900
864,1971,2,864,1,4,NAmes,97000
2392,2003,3,2392,2,10,NridgHt,386250
1302,1971,1,630,2,5,BrDale,112000
2520,1995,3,1203,2,7,NoRidge,290000
987,1970,1,483,1,6,BrDale,106000
912,1967,1,912,1,5,Sawyer,125000
1555,2005,2,1373,2,7,Blmngtn,192500
1194,1959,1,1194,1,6,NAmes,148000
2794,1995,3,1462,2,8,NoRidge,403000
987,1972,1,483,1,6,BrDale,94500
894,1976,1,894,1,5,CollgCr,128200
1960,2002,2,860,2,6,Gilbert,216500
987,1971,1,483,1,6,BrDale,89500
1414,2004,2,1414,2,7,CollgCr,185500
1744,1993,2,996,2,7,SawyerW,194500
1694,2007,3,1694,2,8,NridgHt,318000
1487,1945,1,735,1,6,Edwards,113000
1566,2008,2,1566,2,8,Somerst,262500
866,1945,0,686,1,5,OldTown,110500
1440,1900,1,540,1,5,OldTown,79000
1217,1980,1,626,1,6,SawyerW,120000
2110,1994,2,948,2,7,SawyerW,205000
1872,1988,2,1845,2,7,NWAmes,241500
1928,1910,1,1020,2,6,OldTown,137000
1375,1954,2,1367,1,6,NAmes,140000
1668,2003,2,840,2,7,CollgCr,180000
2144,1958,2,1444,2,6,ClearCr,277000
1306,1940,0,728,1,3,BrkSide,76500
1625,2006,2,1573,2,8,Crawfor,235000
1640,2004,2,798,2,6,SawyerW,173000
1302,1964,1,1302,2,6,NAmes,158000
1314,1957,1,1314,1,5,NAmes,145000
2291,1999,2,975,2,7,Gilbert,230000
1728,2003,2,864,2,6,Somerst,207500
1604,2006,2,1604,2,7,CollgCr,220000
1792,2001,2,963,2,7,CollgCr,231500
882,1956,1,0,1,5,OldTown,97000
1382,1962,2,1362,1,6,NAmes,176000
2574,2007,3,1482,2,8,CollgCr,276000
1212,1977,2,506,1,6,Sawyer,151000
1316,1929,2,926,1,5,OldTown,130000
764,1925,2,680,1,5,OldTown,73000
1422,1981,2,1422,2,6,NWAmes,175500
1511,1997,2,802,2,6,Gilbert,185000
2192,1939,1,720,2,5,SWISU,179500
778,1940,1,740,1,5,IDOTRR,120500
1113,1976,1,1143,1,6,Edwards,148000
1939,2006,3,1095,2,8,Somerst,266000
1363,1954,2,1385,1,7,ClearCr,241500
2270,1999,3,1152,2,8,NoRidge,290000
1632,1958,1,1240,2,6,NAmes,139000
816,1982,1,816,1,5,Mitchel,124500
1548,1925,2,952,2,7,BrkSide,205000
1560,2003,2,1560,2,7,Mitchel,201000
864,1951,2,864,1,4,Gilbert,141000
2121,2006,3,2121,2,9,NridgHt,415298
2022,1977,2,1160,2,7,ClearCr,192000
1982,1989,2,807,2,7,SawyerW,228500
1262,2006,2,1262,2,6,Somerst,185000
1314,2007,2,1314,2,7,NridgHt,207500
1468,2008,3,1468,2,8,Somerst,244600
1575,1992,2,1575,2,6,SawyerW,179200
1250,2006,2,625,2,7,Somerst,164700
1734,1962,2,912,1,6,NAmes,159000
858,1971,0,858,1,4,NAmes,88000
900,1967,1,882,1,5,Sawyer,122000
1396,1915,1,698,1,6,BrkSide,153575
1919,2006,2,1079,2,8,CollgCr,233230
1716,1912,0,780,2,5,SWISU,135900
1716,1949,1,768,1,5,Edwards,131000
2263,1977,2,795,2,7,NWAmes,235000
1644,1953,2,1416,1,6,NAmes,167000
1003,1984,2,1003,1,6,Mitchel,142500
1558,1950,1,910,1,5,IDOTRR,152000
1950,1997,2,975,2,7,Somerst,239000
1743,1968,2,702,1,6,NWAmes,175000
1152,1950,1,1092,1,6,Crawfor,158500
1336,1953,1,1165,1,5,Crawfor,157000
2452,1998,2,1028,2,8,CollgCr,267000
1541,2001,3,1541,2,7,CollgCr,205000
894,1972,2,894,1,5,CollgCr,149900
3493,1880,3,1470,3,7,OldTown,295000
2000,2004,3,2000,2,8,CollgCr,305900
2243,1990,3,700,2,7,SawyerW,225000
1406,1920,0,319,1,6,IDOTRR,89500
861,1940,2,861,1,4,Edwards,82500
1944,2003,3,1896,2,9,NridgHt,360000
1501,1993,2,697,2,6,Gilbert,165600
972,1948,1,972,1,6,NAmes,132000
1118,1939,2,793,1,5,OldTown,119900
2036,1965,2,2136,2,7,Timber,375000
1641,1925,2,728,1,7,OldTown,178000
1432,2004,2,716,2,7,Gilbert,188500
2353,1980,2,845,2,7,NWAmes,260000
1959,2006,3,1088,2,8,Somerst,270000
2646,1993,3,1347,2,7,NoRidge,260000
1472,1980,2,1372,2,7,NWAmes,187500
2596,2006,3,1249,3,9,NridgHt,342643
2468,2004,3,1136,2,8,NridgHt,354000
2730,1986,2,1502,2,7,SawyerW,301000
1163,1955,1,1162,1,3,OldTown,126175
2978,1967,2,710,2,7,NAmes,242000
803,1941,2,720,1,5,IDOTRR,87000
1719,1993,2,1719,1,8,Veenker,324000
1383,1960,1,1383,1,6,NAmes,145250
2134,1916,2,844,2,6,BrkSide,214500
1192,1920,1,596,1,5,IDOTRR,78000
1728,1964,1,1728,2,5,NAmes,119000
1056,1958,1,1056,1,5,NAmes,139000
1629,2003,3,3206,2,8,NridgHt,284000
1358,2004,2,1358,2,7,NridgHt,207000
1638,1998,2,943,2,6,Gilbert,192000
1786,1965,2,1499,2,5,Timber,228950
1922,2005,3,1922,2,9,StoneBr,377426
1536,2002,2,1536,2,7,CollgCr,214000
1621,1984,2,1208,2,7,NWAmes,202500
1215,1958,1,1215,1,6,NAmes,155000
1908,2002,2,967,2,8,Timber,202900
841,1950,1,721,1,4,SawyerW,82000
1040,1949,2,0,2,3,NAmes,87500
1684,2005,2,1684,2,9,NridgHt,266000
1112,1976,1,536,1,5,MeadowV,85000
1577,1939,1,972,1,6,BrkSide,140200
958,1960,1,958,1,6,NAmes,151500
1478,1960,2,1478,2,6,NAmes,157500
1626,2003,2,764,2,7,NridgHt,154000
2728,2005,3,1848,2,9,NridgHt,437154
1869,2007,2,1869,2,9,NridgHt,318061
1453,1986,2,1453,1,7,ClearCr,190000
1111,1941,1,616,1,5,Edwards,95000
720,1928,2,624,1,6,OldTown,105900
1595,1940,1,940,1,6,SWISU,140000
1200,1995,2,1200,2,6,CollgCr,177500
1167,1992,2,1158,2,6,Gilbert,173000
1142,1976,2,1142,1,5,MeadowV,134000
1352,1958,1,1062,1,5,ClearCr,130000
1924,1998,2,1086,2,8,NoRidge,280000
912,1978,2,888,1,6,Mitchel,156000
1505,1940,1,883,1,5,BrkSide,145000
1922,2003,2,0,3,7,Edwards,198500
987,1972,1,483,1,6,BrDale,118000
1574,1976,2,796,2,6,NWAmes,190000
1344,1920,1,672,1,5,IDOTRR,147000
1394,1963,2,1394,1,6,NAmes,159000
1431,1962,1,1099,1,6,NAmes,165000
1268,1954,1,1268,1,5,NAmes,132000
1287,1959,2,1063,1,5,NAmes,162000
1664,2000,2,953,2,6,Gilbert,172400
1588,1959,2,0,2,4,ClearCr,134432
752,1984,1,744,1,6,SawyerW,125000
1319,1953,1,608,1,5,NAmes,123000
1928,2003,2,847,2,7,CollgCr,219500
904,1922,0,683,0,1,Edwards,61000
914,1996,2,870,1,5,CollgCr,148000
2466,2004,2,1580,3,8,Somerst,340000
1856,2010,3,1856,1,9,StoneBr,394432
1800,2000,2,982,2,6,Gilbert,179000
1691,1924,1,1026,2,5,SWISU,127000
1301,2006,2,1293,2,7,Somerst,187750
1797,2006,2,939,2,7,CollgCr,213500
784,1928,2,784,1,6,SawyerW,76000
1953,1992,2,1580,2,6,ClearCr,240000
1269,2004,2,1256,2,8,Blmngtn,192000
1184,1910,0,658,1,5,Edwards,81000
1125,1976,1,1041,1,6,Edwards,125000
1479,1999,2,1468,2,7,CollgCr,191000
2332,2007,3,1682,2,10,NridgHt,426000
1367,1900,1,861,1,5,Edwards,119000
1961,2001,2,804,2,6,Mitchel,215000
882,1959,1,0,1,5,NAmes,106500
788,1941,0,788,1,4,BrkSide,100000
1034,1940,1,735,1,5,OldTown,109000
1144,1956,1,1144,1,5,Edwards,129000
894,1972,2,894,1,5,CollgCr,123000
1812,1962,1,864,2,5,NAmes,169500
1077,1920,1,961,1,5,IDOTRR,67000
1550,2006,2,1092,2,7,Somerst,241000
1288,1996,2,1260,1,8,Veenker,245500
1310,2005,2,1310,2,7,CollgCr,164990
672,1940,1,672,1,5,Sawyer,108000
2263,1998,2,1141,2,8,NoRidge,258000
1572,1995,2,806,2,6,Gilbert,168000
1620,1976,2,1281,2,4,Sawyer,150000
1639,1936,1,1064,1,6,SWISU,115000
1680,1915,1,840,2,6,Crawfor,177000
2172,2006,3,1063,2,7,NridgHt,280000
2078,2007,3,1034,2,8,Somerst,339750
1276,1958,1,1276,1,5,Edwards,60000
1056,1955,2,1056,1,5,Gilbert,145000
1478,2009,2,1470,2,7,Somerst,222000
1028,1927,2,1008,1,5,OldTown,115000
2097,1993,3,1080,2,7,SawyerW,228000
1340,2007,2,1340,2,7,Gilbert,181134
1400,1978,2,672,1,6,Sawyer,149500
2624,1918,3,1370,2,6,Crawfor,239000
1134,1940,1,756,1,5,Edwards,126000
1056,1968,1,1056,1,5,NAmes,142000
1344,1997,4,1344,2,7,Mitchel,206300
1602,1977,2,1602,2,6,NWAmes,215000
988,1954,2,988,1,5,Mitchel,113000
2630,1998,3,1470,2,8,NoRidge,315000
1196,1956,1,1196,1,6,NAmes,139000
1389,1946,1,651,1,7,OldTown,135000
1644,1989,2,1518,2,7,SawyerW,275000
907,1957,1,907,1,4,NAmes,109008
1208,2007,2,1208,2,7,CollgCr,195400
1412,1988,2,1392,2,6,Timber,175000
987,1971,1,483,1,6,BrDale,85400
1198,1920,0,901,1,6,OldTown,79900
1365,1971,2,765,1,5,BrDale,122500
1604,1997,2,926,2,6,Gilbert,181000
630,1972,0,630,1,4,MeadowV,81000
1661,1996,2,799,2,7,CollgCr,212000
1118,1920,2,648,1,6,OldTown,116000
904,1926,1,884,1,6,BrkSide,119000
694,1913,1,440,1,5,Crawfor,90350
1196,1920,2,684,1,6,Edwards,110000
2402,2008,3,3094,2,10,NridgHt,555000
1440,1955,0,1440,2,4,Edwards,118000
1573,1930,2,1078,2,5,BrkSide,162900
1258,2006,3,1258,2,7,Blmngtn,172500
1908,1994,2,915,2,7,CollgCr,210000
1689,1956,2,1436,1,6,Edwards,127500
1888,1966,2,1517,2,6,NAmes,190000
1886,1998,2,930,2,7,Gilbert,199900
1376,1937,1,780,2,6,IDOTRR,119500
1183,1948,1,649,1,3,OldTown,120000
813,1930,1,813,1,6,OldTown,110000
1533,1975,2,1533,2,7,ClearCr,280000
1756,1996,2,872,2,6,Timber,204000
1590,2008,2,768,2,8,Somerst,210000
1728,1976,2,1728,2,5,Mitchel,188000
1242,1973,2,1242,1,7,NWAmes,175500
1344,1916,3,624,1,5,OldTown,98000
1663,1954,2,1364,1,4,ClearCr,256000
1666,1925,1,588,1,8,OldTown,161000
1203,1950,1,709,1,5,BrkSide,110000
1935,2009,2,832,2,8,Somerst,263435
1135,1936,2,560,1,7,SWISU,155000
864,1965,1,864,1,5,Sawyer,62383
1660,1934,1,715,1,6,Crawfor,188700
1040,1978,0,1040,2,5,CollgCr,124000
1414,2004,2,1375,2,7,Blmngtn,178740
1277,1970,2,1277,1,7,NAmes,167000
1644,1942,1,728,1,5,NAmes,146500
1634,2006,3,1626,2,8,NridgHt,250000
1710,1993,2,832,2,6,SawyerW,187000
1502,1985,2,1488,1,8,StoneBr,212000
1969,1977,2,808,2,7,NWAmes,190000
1072,2005,2,547,1,6,Edwards,148000
1976,2006,3,1976,2,8,NridgHt,440000
1652,2000,2,1494,2,8,StoneBr,251000
970,1963,2,970,1,5,Sawyer,132500
1493,1997,2,1478,2,6,CollgCr,208900
2643,2006,3,2153,2,9,NridgHt,380000
1718,2007,3,1705,2,8,CollgCr,297000
1131,1937,2,907,1,4,OldTown,89471
1850,2004,3,1833,2,9,NridgHt,326000
1792,2003,3,1792,2,9,NridgHt,374000
1826,1915,1,910,1,7,OldTown,155000
